key,username,reponame
adafruit-ble-firmata,adafruit,Adafruit_BLE_PinIO
adafruit-fona-library,adafruit,Adafruit_FONA
adafruit-led-backpack-library,adafruit,Adafruit_LED_Backpack
adafruit-liquid-crystal,adafruit,Adafruit_LiquidCrystal
adafruit-mpr121,adafruit,Adafruit_MPR121
asip-services,mdxmase,asip
blynk,blynkkk,blynk-library
cayenne,myDevicesIoT,Cayenne-Arduino-Library
cmd-messenger,thijse,Arduino-CmdMessenger
cmmc-mqtt-connector,cmmakerclub,MQTT-Connector
dcf77,thijse,Arduino-DCF77
e-mo-ro-2560,inovatic-ict,emoro-2560-library
easy-vr,RoboTech-srl,EasyVR-Arduino
education-shield,arduino,EducationShield
eeprom-ex,thijse,Arduino-EEPROMEx
embedded-template-library,ETLCPP,etl
emoro_2560,inovatic-ict,emoro-2560-library
energy-board,LVXElektronik,EnergyBoard
gsm-playground,cniweb,gsm-playground
ha-lake-kit,nyampass,HaLakeKit-Library
hex-fab-quadro-motor-shield,HexFab,HexFabQuadroMotorShield
i-rremote,z3t0,Arduino-IRremote
ibm-lmic-framework,matthijskooijman,arduino-lmic-v1.5
infrared,bengtmartensson,Infrared4Arduino
io-t-pipe,iotpipe,esp8266-arduino-iotpipe
konnekting-device-library,KONNEKTING,KonnektingDeviceLibrary
mahony,PaulStoffregen,MahonyAHRS
max30100lib,oxullo,Arduino-MAX30100
meguno-link,Megunolink,MLP
midea-ir-wrapper,WiserUFBA,ArduMideaWrapper
mind-si,MINDS-i,MINDS-i
minds-i-drone,MINDS-i,MINDS-i-Drone
mirobot,mirobot,mirobot-arduino
modulo,modulolabs,modulo-lib
neo-pixel-painter,DedeHai,NeoPixelPainter
one-sheeld,Integreight,1Sheeld-Arduino-Library
open-device,opendevice,opendevice-lib-arduino
pid,br3ttb,Arduino-PID-Library
pm2005-lib,jwagnerhki,arduino_pm2005lib
r89m-buttons,r89m,Button
r89m-capacitive-button,r89m,CapacitiveButton
r89m-mpr121-button,r89m,MPR121Button
rgb_led,arsalmaner,RGB_LED-Arduino-Library
robot-ir-remote,arduino-libraries,RobotIRremote
simple-dht,winlinvip,SimpleDHT
sindormir-seven-segments,SindormirNet,SindormirSevenSegments
six-digit-seven-segment,SohnyBohny,6-digit-7-Segment-Arduino
smart-card-reader,arduinocodedog,Parallax-Smart-Card-Reader-Library-for-Arduino
smart-matrix3,pixelmatix,SmartMatrix
somo-ii-lib,DefProc,somo-ii-lib
spark-fun-max31855-k-thermocouple-digitizer,sparkfun,MAX31855K_Thermocouple_Breakout
stereo-sid,daitangio,sid-arduino-lib
svante,arduino,Svante-Workshop
talk2,talk2wisen,Talk2Library
the-things-network,TheThingsNetwork,arduino-device-lib
thing-speak,mathworks,thingspeak-arduino
u-arm-library,uArm-Developer,UArmForArduino
usb-host-shield-library-2-0,felis,USB_Host_Shield_2.0
windows-virtual-shields-for-arduino,ms-iot,virtual-shields-arduino
yet-another-arduino-wiegand-library,paulo-raca,YetAnotherArduinoWiegandLibrary
